registro_id;paciente_id;ci_paciente;nombre_paciente;apellido_paterno;apellido_materno;sexo;fecha_nacimiento;municipio_residencia;comunidad_indigena;fecha_vacunacion;vacuna_id;vacuna_nombre;numero_dosis;establecimiento_id;nombre_establecimiento;departamento;lote_vacuna;temperatura_conservacion;edad_dias_aplicacion;aplicacion_oportuna;via_administracion
REG-SC-000035;PAC-SC-02560;83505967 SC;Paola;Herrera;Paniagua;F;03/02/2022;Mineros;False;04/03/2025;VAC-002;Pentavalente;1;EST-SC-0076;Centro Integral de Salud Cota Cota;Santa Cruz;LOT-SNF-2025-569;4.3;1125;True;Intramuscular
REG-SC-000036;PAC-SC-00224;49719461 SC;Marco;Choque;Salvatierra;M;27/04/2023;Cotoca;False;03/10/2024;VAC-014;Antineumocócica;3;EST-SC-0106;Policlínico Alto Lima;Santa Cruz;LOT-PFZ-2024-311;4.4;525;True;Intramuscular
REG-SC-000037;PAC-SC-05453;92128896 SC;Andrés;Salazar;Antelo;M;11/09/2021;Concepción;True;19/07/2024;VAC-019;SRP (Triple Viral);1;EST-SC-0120;Centro Integral de Salud Toro Toro;Santa Cruz;LOT-SII-2024-805;4.3;1042;True;Subcutánea
REG-SC-000038;PAC-SC-01273;62041997 SC;VerÃ³nica;Herrera;Paniagua;F;16/05/2016;Yapacaní;False;08/05/2024;VAC-025;Influenza Estacional;1;EST-SC-0113;Centro Ambulatorio Tupac Katari;Santa Cruz;LOT-PFZ-2024-363;5.0;2914;True;Intramuscular
REG-SC-000039;PAC-SC-01128;50032279 SC;Claudia;Calle;Vargas;F;10/09/2016;San Ignacio de Velasco;False;03/06/2024;VAC-025;Influenza Estacional;1;EST-SC-0116;Posta Sanitaria Chacaltaya;Santa Cruz;LOT-BIO-2024-446;3.2;2823;True;Intramuscular
REG-SC-000040;PAC-SC-01634;72037272 SC;Verónica;Calle;Montaño;F;28/05/2004;Montero ;False;08/01/2024;VAC-024;dT Adulto;1;EST-SC-0126;Centro Integral de Salud Unión;Sta Cruz de la Sierra;LOT-GSK-2024-893;4.8;7164;True;Intramuscular
REG-SC-000041;PAC-SC-05212;90873565 SC;Diego;Montaño;Áñez;M;12/01/2023;Camiri;True;31/05/2024;VAC-009;Antipolio bOPV;3;EST-SC-0109;Puesto de Salud Franz Tamayo;Santa Cruz;LOT-SII-2024-327;4.9;505;True;Oral
REG-SC-000042;PAC-SC-05158;34602905 SC;Diana;Fernández;Peñaranda;F;19/12/2021;Mineros;True;12/04/2024;VAC-025;Influenza Estacional;1;EST-SC-0141;Posta de Salud Mallasa;Santa Cruz;LOT-SII-2024-285;15.2;845;True;Intramuscular
REG-SC-000043;PAC-SC-05205;52063645 SC;Isabella;Choque;Poma;F;01/10/1991;Cotoca;False;08/03/2024;VAC-024;dT Adulto;1;EST-SC-0077;Micro Hospital Mallasa;Santa Cruz;LOT-SII-2024-170;4.6;11847;True;Intramuscular
REG-SC-000044;PAC-SC-04558;37584347 SC;Ricardo;Morales;Calle;M;10/03/2021;Montero;False;07/02/2024;VAC-025;Influenza Estacional;1;EST-SC-0137;Centro Integral de Salud Chasquipampa;Santa Cruz;LOT-SNF-2024-363;6.4;1064;True;Intramuscular
REG-SC-000045;PAC-SC-03008;19658902 SC;Elena;Mamani;Poma;F;17/05/2023;Concepción;False;14/09/2024;VAC-019;SRP (Triple Viral);1;EST-SC-0112;Posta de Salud Litoral;Santa Cruz;LOT-PFZ-2024-314;3.7;486;True;Subcutánea
REG-SC-000046;PAC-SC-04373;34572004 SC;Catalina;Morales;García;F;27/05/2020;San Ignacio de Velasco;False;23/11/2024;VAC-009;Antipolio bOPV;3;EST-SC-0117;Posta de Salud Huayna Potosí;Santa Cruz;LOT-SII-2024-397;5.7;1641;True;Oral
REG-SC-000047;PAC-SC-05239;63243297 SC;Camila;Cruz;Bustamante;F;19/12/2023;Roboré;False;17/10/2024;VAC-018;Influenza Pediátrica;2;EST-SC-0134;Posta de Salud Sopocachi;Santa Cruz;LOT-SNF-2024-327;4.3;303;True;Intramuscular
REG-SC-000048;PAC-SC-04589;63802541 SC;Silvia;Laura;Justiniano;F;23/10/2022;Puerto Suarez;False;29/11/2024;VAC-003;Pentavalente;2;EST-SC-0083;Posta Sanitaria Villa Dolores;Santa Cruz;LOT-AZN-2024-632;5.4;768;True;Intramuscular
REG-SC-000049;PAC-SC-01605;14626214 SC;Catalina;Paniagua;Vaca;F;15/12/2019;Mineros;True;22/11/2024;VAC-021;Antiamarílica (FA);1;EST-SC-0084;Centro Ambulatorio Plan 3000;Santa Cruz;LOT-SII-2024-533;5.6;1804;True;Subcutánea
REG-SC-000050;PAC-SC-03366;13538784 SC;José;López;Poma;M;19/11/2022;La Guardia;True;24/05/2024;VAC-010;Antipolio bOPV;4;EST-SC-0081;Centro Ambulatorio Río Seco;Santa Cruz;LOT-SII-2024-475;14.9;552;True;Oral
REG-SC-000051;PAC-SC-03954;28422400 SC;Hugo;Flores;Rojas;M;19/12/1984;Roboré;False;06/01/2024;VAC-025;Influenza Estacional;1;EST-SC-0089;Hospital Obrero Urbarí;Santa Cruz;LOT-SNF-2024-715;6.2;14262;True;Intramuscular
REG-SC-000052;PAC-SC-00203;2940369 SC;Fernando;Salazar;Pereira;M;29/03/2020;Camiri;False;09/03/2024;VAC-007;Antipolio IPV;1;EST-SC-0114;Centro Integral de Salud Bartolina Sisa;Santa Cruz;LOT-BIO-2024-201;1.9;1441;True;Intramuscular
REG-SC-000053;PAC-SC-04443;78681272 SC;Óscar;Gutiérrez;Suárez;M;04/03/2023;Montero;False;25/01/2024;VAC-003;Pentavalente;2;EST-SC-0114;Centro Integral de Salud Bartolina Sisa;Santa Cruz;LOT-BIO-2024-554;2.4;327;True;Intramuscular
REG-SC-000054;PAC-SC-00198;50092554 SC;Sofía;Salvatierra;Terrazas;F;12/01/2021;San Ignacio de Velasco;True;26/02/2025;VAC-025;Influenza Estacional;1;EST-SC-0122;Posta de Salud El Carmen;Santa Cruz;LOT-BIO-2025-397;5.0;1506;True;Intramuscular
REG-SC-000055;PAC-SC-00559;84532383 SC;Sergio;Quispe;Torrez;M;31/01/2021;Puerto Suarez;False;19/01/2024;VAC-002;Pentavalente;1;EST-SC-0111;Posta Sanitaria Bolívar;Santa Cruz;LOT-GSK-2024-106;8.2;1083;True;Intramuscular
REG-SC-000056;PAC-SC-03155;54404396 SC;Isabella;Cruz;Ribera;F;03/11/2021;Cotoca;True;25/06/2024;VAC-021;Antiamarílica (FA);1;EST-SC-0090;Hospital Virgen de Remedios Las Palmas;Santa Cruz;LOT-SNF-2024-690;5.1;965;True;Subcutánea
REG-SC-000057;PAC-SC-00318;24593741 SC;Carla;Fernández;Ribera;F;22/11/2001;Cotoca;True;25/04/2024;VAC-025;Influenza Estacional;1;EST-SC-0102;Posta de Salud San Sebastián;Santa Cruz;LOT-SII-2024-740;7.2;8190;True;Intramuscular
REG-SC-000058;PAC-SC-04061;20061805 SC;Carmen;Pereira;Cruz;F;11/09/2010;Puerto Suarez;False;19/02/2025;VAC-025;Influenza Estacional;1;EST-SC-0139;Centro Materno Infantil Achumani;Santa Cruz;LOT-BIO-2025-954;4.0;5275;True;Intramuscular
REG-SC-000059;PAC-SC-04259;23692887 SC;Adrián;Romero;Justiniano;M;27/09/2007;Warnes;False;11/01/2024;VAC-025;Influenza Estacional;1;EST-SC-0091;Centro Materno Infantil Hamacas;Santa Cruz;LOT-SII-2024-687;6.5;5950;True;Intramuscular
REG-SC-000060;PAC-SC-03133;10611117 SC;Fernanda;Peñaranda;Flores;F;30/05/2024;Puerto Suarez;False;07/02/2025;VAC-017;Influenza Pediátrica;1;EST-SC-0107;Hospital Provincial Villa Ingenio;Santa Cruz;LOT-SII-2025-921;4.3;253;True;Intramuscular
REG-SC-000061;PAC-SC-02774;43577976 SC;Daniela;Justiniano;Cuéllar;F;09/10/2020;Cotoca;False;09/05/2025;VAC-021;Antiamarílica (FA);1;EST-SC-0120;Centro Integral de Salud Toro Toro;Santa Cruz;LOT-PFZ-2025-214;2.6;1673;True;Subcutánea
REG-SC-000062;PAC-SC-04414;50013248 SC;Facundo;López;Morales;M;27/03/2022;Roboré;False;10/02/2025;VAC-001;BCG;1;EST-SC-0128;Micro Hospital Porvenir;Santa Cruz;LOT-GSK-2025-424;6.2;1051;True;Intradérmica
REG-SC-000063;PAC-SC-01061;21978606 SC;Carlos;Paniagua;Morales;M;17/08/2023;Yapacaní;False;01/11/2024;VAC-007;Antipolio IPV;1;EST-SC-0124;Centro Materno Infantil Nueva Esperanza;Santa Cruz;LOT-GSK-2024-791;6.6;442;True;Intramuscular
REG-SC-000064;PAC-SC-01828;21068893 SC;Valentina;Choque;Calle;F;01/01/2023;La Guardia;False;14/02/2024;VAC-014;Antineumocócica;3;EST-SC-0089;Hospital Obrero Urbarí;Santa Cruz;LOT-GSK-2024-512;2.8;409;True;Intramuscular
REG-SC-000065;PAC-SC-03518;26966501 SC;Álvaro;Vaca;Quispe;M;28/04/2022;Puerto Suarez;False;21/11/2024;VAC-021;Antiamarílica (FA);1;EST-SC-0111;Posta Sanitaria Bolívar;Santa Cruz;LOT-PFZ-2024-962;11.1;938;True;Subcutánea
REG-SC-000066;PAC-SC-02941;84758052 SC;Gabriela;Martínez;Apaza;F;21/03/2024;Yapacaní;False;12/12/2024;VAC-025;Influenza Estacional;1;EST-SC-0072;Posta de Salud Calacoto;Santa Cruz;LOT-AZN-2024-680;6.3;266;True;Intramuscular
REG-SC-000067;PAC-SC-03267;86202524 SC;Carmen;Mamani;Áñez;F;14/02/2017;Puerto Suarez;False;14/09/2024;VAC-025;Influenza Estacional;1;EST-SC-0118;Hospital Germán Busch Sajama;Santa Cruz;LOT-SII-2024-679;6.0;2769;True;Intramuscular
REG-SC-000068;PAC-SC-03414;73315954 SC;Ricardo;Fernández;Terrazas;M;20/07/2021;Puerto Suarez;False;19/03/2025;VAC-019;SRP (Triple Viral);1;EST-SC-0132;Centro de Salud Villa Victoria;Santa Cruz;LOT-BIO-2025-548;6.9;1338;True;Subcutánea
REG-SC-000069;PAC-SC-01997;25362213 SC;Daniela;Martínez;Cruz;F;24/08/2022;Camiri;True;16/04/2025;VAC-020;SRP (Triple Viral);2;EST-SC-0101;Centro Ambulatorio Villa Pagador;Santa Cruz;LOT-BIO-2025-691;4.8;966;True;Subcutánea
REG-SC-000070;PAC-SC-01998;32007126 SC;Andrea;Rojas;Peñaranda;F;14/10/2022;Yapacaní;False;28/03/2024;VAC-003;Pentavalente;2;EST-SC-0090;Hospital Virgen de Remedios Las Palmas;Santa Cruz;LOT-BIO-2024-812;4.7;531;True;Intramuscular
REG-SC-000071;PAC-SC-05008;72808444 SC;Renata;Antelo;Áñez;F;12/02/2024;La Guardia;False;28/10/2024;VAC-013;Antineumocócica;2;EST-SC-0127;Centro Materno Infantil Libertad;Santa Cruz;LOT-SNF-2024-362;3.2;259;True;Intramuscular
REG-SC-000072;PAC-SC-04179;21388306 SC;Carmen;López;Peñaranda;F;25/07/1996;La Guardia;False;22/04/2025;VAC-024;dT Adulto;1;EST-SC-0116;Posta Sanitaria Chacaltaya;Santa Cruz;LOT-AZN-2025-126;5.8;10498;True;Intramuscular
REG-SC-000073;PAC-SC-01653;82365004 SC;Daniel;Calle;García;M;02/06/2020;La Guardia;True;10/01/2024;VAC-004;Pentavalente;3;EST-SC-0141;Posta de Salud Mallasa;Santa Cruz;LOT-SNF-2024-536;9.0;1317;True;Intramuscular
REG-SC-000074;PAC-SC-00573;91395842 SC;Silvia;Peñaranda;Castillo;F;06/04/2014;La Guardia;False;26/02/2024;VAC-025;Influenza Estacional;1;EST-SC-0117;Posta de Salud Huayna Potosí;Santa Cruz;LOT-AZN-2024-360;3.5;3613;True;Intramuscular
REG-SC-000075;PAC-SC-02568;42061697 SC;Isabella;Vaca;Cuéllar;F;11/09/2020;Portachuelo;False;13/05/2024;VAC-002;Pentavalente;1;EST-SC-0107;Hospital Provincial Villa Ingenio;Santa Cruz;LOT-GSK-2024-848;3.7;1340;True;Intramuscular
REG-SC-000076;PAC-SC-02816;41447140 SC;Sebastián;Martínez;Salazar;M;23/02/2010;San Julián;True;14/03/2025;VAC-024;dT Adulto;1;EST-SC-0144;Centro Ambulatorio Senkata;Santa Cruz;LOT-AZN-2025-672;6.4;5498;True;Intramuscular
REG-SC-000077;PAC-SC-01748;35641813 SC;Valentina;Suárez;Vargas;F;08/09/2023;San Julián;False;18/04/2025;VAC-003;Pentavalente;2;EST-SC-0128;Micro Hospital Porvenir;Santa Cruz;LOT-GSK-2025-569;6.4;588;True;Intramuscular
REG-SC-000078;PAC-SC-00020;48936136 SC;Daniel;Paniagua;Condori;M;14/08/2020;Mineros;False;28/05/2024;VAC-009;Antipolio bOPV;3;EST-SC-0140;Centro Integral de Salud Cota Cota;Santa Cruz;LOT-BIO-2024-482;7.4;1383;True;Oral
REG-SC-000079;PAC-SC-04239;7068875 SC;Raúl;Pereira;Condori;M;29/12/1987;Concepción;True;01/04/2024;VAC-025;Influenza Estacional;1;EST-SC-0114;Centro Integral de Salud Bartolina Sisa;Santa Cruz;LOT-BIO-2024-561;5.8;13243;True;Intramuscular
REG-SC-000080;PAC-SC-03453;10612019 SC;Martina;Mamani;Cuéllar;F;01/06/2024;Mineros;False;29/02/2025;VAC-007;Antipolio IPV;1;EST-SC-0077;Micro Hospital Mallasa;Santa Cruz;LOT-GSK-2024-343;-1.0;165;True;Intramuscular
REG-SC-000081;PAC-SC-03367;46827274 SC;Raúl;Herrera;Peñaranda;M;01/11/2004;Santa Cruz de la Sierra;False;09/05/2024;VAC-025;Influenza Estacional;1;EST-SC-0101;Centro Ambulatorio Villa Pagador;Santa Cruz;LOT-PFZ-2024-234;6.0;7129;True;Intramuscular
REG-SC-000082;PAC-SC-03210;25644782 SC;Diego;Laura;Montaño;M;06/01/2022;San Ignacio de Velasco;False;05/10/2024;VAC-003;Pentavalente;2;EST-SC-0112;Posta de Salud Litoral;Santa Cruz;LOT-AZN-2024-396;5.6;1003;True;Intramuscular
REG-SC-000083;PAC-SC-05246;33472178 SC;Diana;Mamani;Laura;F;13/03/2022;Concepción;False;19/08/2024;VAC-002;Pentavalente;1;EST-SC-0117;Posta de Salud Huayna Potosí;Santa Cruz;LOT-AZN-2024-364;4.5;890;True;Intramuscular
REG-SC-000084;PAC-SC-02194;61120528 SC;José;Mendoza;Castillo;M;12/04/2023;San Ignacio de Velasco;False;24/03/2025;VAC-020;SRP (Triple Viral);2;EST-SC-0086;Puesto de Salud Los Lotes;Santa Cruz;LOT-SII-2025-465;3.6;712;True;Subcutánea
REG-SC-000085;PAC-SC-01538;97738064 SC;Ramiro;Bustamante;Romero;M;04/08/2024;Camiri;False;23/10/2024;VAC-007;Antipolio IPV;1;EST-SC-0091;Centro Materno Infantil Hamacas;Santa Cruz;LOT-GSK-2024-461;2.0;80;True;Intramuscular
REG-SC-000086;PAC-SC-04996;62326151 SC;Eduardo;Suárez;Terrazas;M;08/01/2024;Yapacaní;True;14/08/2024;VAC-001;BCG;1;EST-SC-0080;Posta de Salud Senkata;Santa Cruz;LOT-AZN-2024-978;3.7;219;True;Intradérmica
REG-SC-000087;PAC-SC-05455;37726070 SC;Carmen;Laura;Justiniano;F;18/09/2021;La Guardia;True;17/09/2024;VAC-007;Antipolio IPV;1;EST-SC-0134;Posta de Salud Sopocachi;Santa Cruz;LOT-AZN-2024-916;3.5;1095;True;Intramuscular
REG-SC-000088;PAC-SC-00662;4301394 SC;Pablo;Paz;Flores;M;03/12/2014;San Ignacio de Velasco;False;18/03/2024;VAC-025;Influenza Estacional;1;EST-SC-0094;Posta de Salud Sacaba Sur;Santa Cruz;LOT-PFZ-2024-885;5.8;3393;True;Intramuscular
REG-SC-000089;PAC-SC-04423;15424917 SC;Diana;Paz;Paniagua;F;30/12/2002;Cotoca;False;22/07/2024;VAC-025;Influenza Estacional;1;EST-SC-0095;Posta de Salud Quillacollo Centro;Santa Cruz;LOT-GSK-2024-469;7.6;7875;True;Intramuscular
REG-SC-000090;PAC-SC-04143;46722149 SC;Patricia;Apaza;Justiniano;F;07/04/2016;Yapacaní;True;09/09/2024;VAC-025;Influenza Estacional;1;EST-SC-0121;Posta Sanitaria Tarapacá;Santa Cruz;LOT-SII-2024-582;5.8;3077;True;Intramuscular
REG-SC-000091;PAC-SC-04968;79668362 SC;Diego;Fernández;Salvatierra;M;09/02/2018;Yapacaní;True;19/06/2024;VAC-025;Influenza Estacional;1;EST-SC-0093;Centro Materno Infantil Tiquipaya Norte;Santa Cruz;LOT-GSK-2024-532;6.9;2322;True;Intramuscular
REG-SC-000092;PAC-SC-04126;49810716 SC;Ana;Céspedes;Antelo;F;31/03/2023;Camiri;True;07/02/2025;VAC-025;Influenza Estacional;1;EST-SC-0114;Centro Integral de Salud Bartolina Sisa;Santa Cruz;LOT-BIO-2025-268;4.7;679;True;Intramuscular
REG-SC-000093;PAC-SC-02483;3390785 SC;Diana;López;Montaño;F;28/11/2019;Montero;False;25/03/2024;VAC-001;BCG;1;EST-SC-0128;Micro Hospital Porvenir;Santa Cruz;LOT-GSK-2024-364;7.3;1579;True;Intradérmica
REG-SC-000094;PAC-SC-01372;84848831 SC;Silvia;Vaca;Peñaranda;F;18/11/2020;San Ignacio de Velasco;True;07/12/2024;VAC-008;Antipolio bOPV;2;EST-SC-0103;Centro de Salud La Cancha;Santa Cruz;LOT-BIO-2024-374;8.9;1480;True;Oral
REG-SC-000095;PAC-SC-02878;30320165 SC;Catalina;Rojas;López;F;19/11/2015;San Ignacio de Velasco;False;28/02/2024;VAC-025;Influenza Estacional;1;EST-SC-0079;Hospital de Clínicas Santiago de Lacaya;Santa Cruz;LOT-BIO-2024-152;11.7;3023;True;Intramuscular
