record_id;sync_timestamp;device_id;patient_id;patient_ci;patient_name;patient_last_name_1;patient_last_name_2;patient_sex;patient_birth_date;patient_department;patient_municipality;patient_community;patient_indigenous;vaccination_date;vaccine_code;vaccine_name;dose_number;facility_code;facility_name;lot_number;storage_temp_celsius;patient_age_days;administration_route;gps_latitude;gps_longitude;gps_accuracy_meters;observations
MOVIL-000011;2025-06-07T09:56:30;TAB-OR-02;MOV-01156;90293904 OR;Fortunato;Nina;Tarqui;M;1/8/2021;Oruro;Oruro;Comunidad Culpina;True;2025-06-07T13:07:40;VAC-021;Antiamarílica (FA);1.0;EST-OR-0252;Posta Sanitaria Nueva Esperanza;LOT-GSK-2025-690;0.5;1406;Subcutánea;-17.493.123;-67.286.824;5.0;Segunda visita - completar esquema
MOVIL-000012;2024-10-02T15:57:21;TAB-CH-03;MOV-00178;30370827 PT;María;Flores;Tarqui;F;24/7/2023;Potosí;Colquechaca;Comunidad Chacala;False;2024-10-02T16:37:13;VAC-014;Antineumocócica;3.0;EST-PT-0203;Micro Hospital Achumani;LOT-SII-2024-753;13.5;436;Intramuscular;-19.844.796;-66.474.798;15.0;
MOVIL-000013;2024-02-01T10:29:05;TAB-CH-03;MOV-00546;4823873 CH;Tomasa;Yapura;Mendoza;F;14/1/2024;Chuquisaca;Mojocoya;Comunidad Ocurí;True;2024-02-01T14:17:15;VAC-001;BCG;1.0;EST-CH-0268;Centro Ambulatorio Cota Cota;LOT-SII-2024-891;5.0;18;Intradérmica;-19.683.488;-64.715.447;5.0;Referido de posta vecina
MOVIL-000014;2025-06-03T11:47:14;TAB-PT-07;MOV-00360;7822603 PT;Claudia;Yujra;Copa;F;15/9/2021;Potosí;Tinguipaya;Comunidad Tolapampa;False;2025-06-03T08:19:05;VAC-020;SRP (Triple Viral);2.0;EST-PT-0203;Micro Hospital Achumani;LOT-BIO-2025-216;7.1;1357;Subcutánea;-19.224.316;-66.323.944;25.0;
MOVIL-000015;2025-01-30T15:14:31;TAB-OR-04;MOV-00982;53483952 OR;David;Tarqui;Marca;M;4/1/2023;Oruro;Machacamarca;Comunidad Tolapampa;True;2025-01-30T15:23:07;VAC-019;SRP (Triple Viral);1.0;EST-OR-0237;Centro Ambulatorio Franz Tamayo;LOT-AZN-2025-727;5.0;757;Subcutánea;-17.429.171;-66.724.343;25.0;
MOVIL-000016;2024-01-30T13:24:41;TAB-OR-03;MOV-00903;29013358 OR;Zenón;Poma;Apaza;M;22/3/2023;Oruro;Eucaliptus;Comunidad Chacala;False;2024-01-30T12:37:30;VAC-013;Antineumocócica;2.0;EST-OR-0239;Posta de Salud Bolívar;LOT-SNF-2024-256;3.7;314;Intramuscular;-17.258.509;-66.338.323;50.0;
MOVIL-000017;2024-05-31T12:35:07;TAB-OR-03;MOV-00781;72209185 PT;Epifania;Mamani Quispe;Chura;F;2/1/2022;Potosí;Puna;Ayllu Macha;True;2024-05-31T07:11:04;VAC-021;Antiamarílica (FA);1.0;EST-PT-0232;Micro Hospital Chimba;LOT-AZN-2024-391;9.9;880;Subcutánea;-2.002.921;-66.723.217;15.0;
MOVIL-000018;2025-05-12T07:40:39;TAB-OR-07;MOV-00076;62119361 OR;Luis;Catari;Condori;M;13/10/2022;Oruro;Machacamarca;;True;2025-05-12T10:31:30;VAC-009;Antipolio bOPV;3.0;EST-OR-0240;Posta Sanitaria Litoral;LOT-SNF-2025-766;1.8;942;Oral;-18.336.463;-67.837.943;10.0;
MOVIL-000019;2024-07-12T07:39:21;TAB-CH-02;MOV-00046;;Víctor;Chambi;Rojas;M;3/6/2021;Chuquisaca;Huacareta;Ayllu Qhara Qhara;True;2024-07-12T16:25:33;VAC-020;SRP (Triple Viral);2.0;EST-CH-0276;Puesto de Salud Plan 3000;LOT-PFZ-2024-925;16.4;1135;Subcutánea;-18.907.433;-65.497.049;15.0;Brigada móvil comunitaria
MOVIL-000020;2024-06-27T07:39:54;TAB-PT-07;MOV-00242;;Óscar;Torrez;Laura;M;12/10/1991;Chuquisaca;Camargo;Comunidad Chacala;False;2024-06-27T13:52:30;VAC-024;dT Adulto;1.0;EST-CH-0291;Posta Sanitaria Valle Hermoso;LOT-BIO-2024-448;8.5;11947;Intramuscular;-19.181.501;-64.279.078;15.0;
MOVIL-000021;2024-08-13T08:12:26;TAB-CH-06;MOV-00022;12310552 CH;María;Marca;Yujra;F;8/7/1991;Chuquisaca;Padilla;Comunidad Huari;False;2024-08-13T07:56:44;VAC-024;dT Adulto;1.0;EST-PT-9003;Brigada Móvil Norte Potosí;LOT-GSK-2024-168;17.6;12090;Intramuscular;-18.931.287;-65.069.083;50.0;Referido de posta vecina
MOVIL-000022;2024-11-07T11:58:02;TAB-PT-06;MOV-00916;;Valentina;Chura;Choque;F;6/4/2024;Oruro;Poopó;Comunidad Calacoto;True;2024-11-07T13:02:56;VAC-003;Pentavalente;2.0;EST-OR-0254;Posta de Salud Unión;LOT-PFZ-2024-593;8.1;215;Intramuscular;-1.826.272;-67.034.067;15.0;Vacunación en unidad educativa
MOVIL-000023;2024-08-27T13:52:03;TAB-PT-03;MOV-01077;1908573 PT;Wilmer;Chura;Quispe;M;26/11/1998;Potosí;Sacaca;Ayllu Macha;False;2024-08-27T07:06:08;VAC-025;Influenza Estacional;1.0;;;LOT-PFZ-2024-355;3.5;9406;Intramuscular;-19.779.104;-64.562.254;5.0;
MOVIL-000024;2024-10-25T07:58:39;TAB-PT-03;MOV-01154;10255211 PT;Wilmer;Mamani Quispe;Catari;M;28/9/2023;Potosí;Uncía;Comunidad Ocurí;False;2024-10-25T13:50:51;VAC-001;BCG;1.0;EST-PT-0225;Posta de Salud Alalay;LOT-AZN-2024-145;15.2;393;Intradérmica;-20.447.532;-66.431.204;15.0;Segunda visita - completar esquema
MOVIL-000025;2024-06-25T15:36:17;TAB-CH-01;MOV-01103;69637338 OR;Marco;Colque;Ticona;M;7/4/2021;Oruro;Challapata;Ayllu Macha;True;2024-06-25T10:57:39;VAC-001;BCG;1.0;EST-OR-0239;Posta de Salud Bolívar;LOT-PFZ-2024-444;8.7;1175;Intradérmica;-18.339.916;-66.861.747;10.0;
MOVIL-000026;2024-10-28T10:06:20;TAB-PT-02;MOV-01049;62864145 PT;Petrona;Vargas;Calle;F;11/4/2008;Potosí;Sacaca;Comunidad Culpina;True;2024-10-28T13:07:41;VAC-024;dT Adulto;1.0;EST-PT-0207;Centro Materno Infantil Santiago de Lacaya;LOT-SNF-2024-997;13.8;6044;Intramuscular;-19.431.149;-65.245.236;25.0;
MOVIL-000027;2024-04-29T09:29:21;TAB-PT-03;MOV-00692;;Celestino;Mendoza;Apaza;M;23/11/2021;Potosí;Uncía;Comunidad Tinquipaya;False;2024-04-29T11:29:02;VAC-002;Pentavalente;1.0;EST-PT-0216;Micro Hospital Equipetrol;LOT-BIO-2024-906;10.1;888;Intramuscular;-1.854.645;-66.603.917;10.0;
MOVIL-000028;2024-07-11T15:27:29;TAB-OR-07;MOV-00325;52989536 OR;Dionisio;Ticona;Nina;M;8/4/2005;Oruro;Machacamarca;;True;2024-07-11T13:28:25;VAC-024;dT Adulto;1.0;EST-OR-0238;Posta Sanitaria Mariscal Sucre;LOT-AZN-2024-242;6.2;7034;Intramuscular;-17.324.165;-67.794.976;15.0;Referido de posta vecina
MOVIL-000029;2024-01-05T11:12:17;TAB-CH-03;MOV-00200;15804511 OR;Epifania;Flores;Siñani;F;29/1/2021;Oruro;Oruro;;True;2024-01-05T12:18:21;VAC-019;SRP (Triple Viral);1.0;EST-OR-0249;Posta de Salud Tarapacá;LOT-GSK-2024-212;7.8;1071;Subcutánea;-1.875.661;-66.837.179;15.0;Vacunación en unidad educativa
MOVIL-000030;2024-06-08T14:45:19;TAB-OR-07;MOV-00162;;Efraín;Machaca;Callisaya;M;28/8/2022;Potosí;Ravelo;Ayllu Laymes;True;2024-06-08T07:57:51;VAC-007;Antipolio IPV;;EST-PT-0201;Centro Ambulatorio Chasquipampa;LOT-SNF-2024-178;3.4;650;Intramuscular;-20.506.941;-65.620.609;10.0;
MOVIL-000031;2024-08-14T10:58:29;TAB-OR-07;MOV-00341;77351077 CH;Celestino;Marca;Choque;M;7/7/2021;Chuquisaca;Zudáñez;Comunidad San Pedro de Quemes;True;2024-08-14T09:41:12;VAC-007;Antipolio IPV;1.0;EST-CH-0291;Posta Sanitaria Valle Hermoso;LOT-SII-2024-537;2.9;1134;Intramuscular;-18.541.794;-65.788.314;5.0;
MOVIL-000032;2024-10-10T08:08:05;TAB-PT-01;MOV-00168;29728437 OR;Rosa;Apaza;Mamani;F;29/12/2019;Oruro;Chipaya;Comunidad Chipaya;True;2024-10-10T09:09:36;VAC-004;Pentavalente;3.0;EST-OR-0252;Posta Sanitaria Nueva Esperanza;LOT-BIO-2024-698;5.0;1747;Intramuscular;-17.274.968;-67.075.144;5.0;Segunda visita - completar esquema
MOVIL-000033;2025-03-19T10:14:17;TAB-PT-07;MOV-00410;;Víctor;Copa;Calle;M;20/9/2019;Potosí;Puna;Comunidad Chipaya;True;2025-03-19T08:06:55;VAC-025;Influenza Estacional;1.0;EST-PT-0203;Micro Hospital Achumani;LOT-SII-2025-396;11.8;2007;Intramuscular;-18.917.567;-64.811.683;15.0;
MOVIL-000034;2024-09-14T13:16:18;TAB-OR-01;MOV-00486;48865579 OR;Efraín;Callisaya;Copa;M;15/5/2022;Oruro;Challapata;Comunidad Chacala;False;2024-09-14T07:31:15;VAC-009;Antipolio bOPV;3.0;EST-OR-0258;Posta Sanitaria Villa Fátima;LOT-BIO-2024-833;5.2;853;Oral;-17.820.794;-66.987.017;100.0;Brigada móvil comunitaria
MOVIL-000035;2025-03-14T10:53:25;TAB-OR-05;MOV-00088;85380672 CH;Celestino;Yujra;Yapura;M;10/3/2020;Chuquisaca;Padilla;;False;2025-03-14T08:47:31;VAC-025;Influenza Estacional;1.0;EST-CH-0270;Centro de Salud Kupini;LOT-AZN-2025-997;12.7;1830;Intramuscular;-19.594.835;-66.218.729;5.0;
MOVIL-000036;2025-06-17T11:24:43;TAB-PT-03;MOV-00304;19434369 CH;Rosa;Mamani Quispe;Alanoca;F;15/9/1995;Chuquisaca;Tarabuco;Comunidad Ravelo;True;2025-06-17T09:27:59;VAC-024;dT Adulto;1.0;EST-CH-0285;Posta Sanitaria Tiquipaya Norte;LOT-PFZ-2025-467;10.5;10868;Intramuscular;-19.718.517;-64.358.863;100.0;Segunda visita - completar esquema
MOVIL-000037;2024-04-06T08:18:09;TAB-CH-03;MOV-00200;15804511 OR;Epifania;Flores;Siñani;F;29/1/2021;Oruro;Oruro;;True;2024-04-06T09:52:18;VAC-001;BCG;1.0;EST-OR-0247;Centro Integral de Salud Tunari;LOT-SNF-2024-381;9.6;1163;Intradérmica;-18.195.842;-66.744.332;15.0;
MOVIL-000038;2025-01-06T13:05:18;TAB-OR-05;MOV-00939;;Claudia;Tarqui;Alanoca;F;5/11/2023;Potosí;Llallagua;Comunidad Culpina;True;2025-01-06T16:28:58;VAC-014;Antineumocócica;3.0;EST-PT-0226;Centro Ambulatorio Jaihuayco;LOT-BIO-2025-419;5.8;428;Intramuscular;-19.673.754;-65.887.795;50.0;
MOVIL-000039;2024-09-02T12:18:34;TAB-PT-06;MOV-00294;22731798 PT;Claudia;Villca;Choque;F;28/9/1995;Potosí;Llallagua;Comunidad Tolapampa;False;2024-09-02T08:14:43;VAC-025;Influenza Estacional;1.0;EST-PT-0201;Centro Ambulatorio Chasquipampa;LOT-SII-2024-589;3.4;10567;Intramuscular;-20.259.126;-65.911.967;5.0;
MOVIL-000040;2024-05-21T08:52:30;TAB-PT-03;MOV-00179;97861128 PT;Silvia;Choque Huanca;Torrez;F;15/8/2022;Potosí;Uyuni;Comunidad Tolapampa;True;2024-05-21T10:08:44;VAC-021;Antiamarílica (FA);1.0;EST-PT-0222;Puesto de Salud Sacaba Sur;LOT-PFZ-2024-286;8.4;645;Subcutánea;-19.613.287;-6.594.219;50.0;
MOVIL-000041;2025-06-14T11:10:04;TAB-OR-04;MOV-00333;55779043 PT;Ana;Flores;Callisaya;F;21/8/2020;Potosí;Tupiza;Comunidad Tinquipaya;False;2025-06-14T08:18:25;VAC-001;BCG;1.0;EST-PT-0217;Puesto de Salud Urbarí;LOT-PFZ-2025-739;15.4;1758;Intradérmica;-19.407.303;-66.682.344;10.0;
MOVIL-000042;2025-03-05T16:16:56;TAB-PT-01;MOV-00721;23907093 CH;Grover;Huanca;Copa;M;6/5/2013;Chuquisaca;Tarabuco;Ayllu Chayantaka;True;2025-03-05T11:47:06;VAC-025;Influenza Estacional;1.0;EST-CH-0270;Centro de Salud Kupini;LOT-BIO-2025-395;3.6;4321;Intramuscular;-19.923.492;-65.530.265;100.0;
MOVIL-000043;2025-05-12T08:42:12;TAB-CH-06;MOV-00895;99089488 OR;Luis;Poma;Huanca;M;22/6/2009;Oruro;Caracollo;Comunidad Ocurí;True;2025-05-12T14:59:15;VAC-025;Influenza Estacional;1.0;EST-OR-0248;Centro Ambulatorio Toro Toro;LOT-AZN-2025-625;8.8;5803;Intramuscular;-18.091.755;-67.125.677;10.0;
MOVIL-000044;2024-07-10T10:23:59;TAB-OR-07;MOV-00259;4325315 PT;Wilmer;Condori Poma;Huanca;M;26/12/2019;Potosí;Ravelo;Ayllu Laymes;True;2024-07-10T07:20:22;VAC-021;Antiamarílica (FA);1.0;EST-PT-0203;Micro Hospital Achumani;LOT-SII-2024-264;4.1;1658;Subcutánea;-18.860.381;-64.624.437;50.0;
MOVIL-000045;2024-07-27T13:38:37;TAB-OR-06;MOV-00935;36424315 PT;Juana;Catari;Chura;F;17/8/1989;Potosí;Uncía;Ayllu Macha;False;2024-07-27T11:40:15;VAC-025;Influenza Estacional;1.0;EST-PT-0225;Posta de Salud Alalay;PFZ.2024.958;5.9;12763;Intramuscular;-1.888.075;-65.561.569;15.0;
MOVIL-000046;2025-03-04T08:35:19;TAB-CH-07;MOV-00878;93609426 PT;Wálter;Flores;Rojas;M;10/2/2013;Potosí;Tupiza;Comunidad San Pedro de Quemes;True;2025-03-04T09:48:37;VAC-023;VPH;2.0;EST-PT-0219;Puesto de Salud Hamacas;GSK/2025/638;13.6;4405;Intramuscular;-19.010.902;-64.819.978;5.0;Vacunación en unidad educativa
MOVIL-000047;2024-01-02T13:08:13;TAB-CH-07;MOV-00262;44626563 PT;Nayeli;Laura;Machaca;F;29/6/2023;Potosí;Potosí;Comunidad Chipaya;False;2024-01-02T07:48:24;VAC-025;Influenza Estacional;1.0;EST-PT-0213;Policlínico Pampa de la Isla;LOT-SII-2024-336;2.8;187;Intramuscular;-20.009.321;-66.947.017;5.0;
MOVIL-000048;2024-08-15T15:55:04;TAB-CH-02;MOV-00301;;Bernarda;Yujra;Mamani Quispe;F;25/10/2021;Potosí;Betanzos;;True;2024-08-15T15:38:34;VAC-019;SRP (Triple Viral);1.0;EST-PT-0224;Posta de Salud Temporal;LOT-PFZ-2024-702;7.5;1025;Subcutánea;-20.071.844;-64.568.211;5.0;Referido de posta vecina
MOVIL-000049;2024-09-13T11:56:33;TAB-OR-05;MOV-00011;4331068 PT;Dionisio;Laura;Chipana;M;8/5/2020;Potosí;Villazón;Comunidad Tinquipaya;True;2024-09-13T07:58:05;VAC-001;BCG;1.0;EST-PT-0217;Puesto de Salud Urbarí;LOT-SNF-2024-496;15.6;1589;Intradérmica;-194.056;-66.557.271;25.0;
MOVIL-000050;2024-09-20T11:00:45;TAB-PT-02;MOV-00194;42164396 OR;Efraín;Huanca;Cruz;M;16/8/1989;Oruro;Antequera;;False;2024-09-20T14:10:36;VAC-024;dT Adulto;1.0;EST-OR-0262;Centro Ambulatorio Sopocachi;LOT-PFZ-2024-271;6.6;12819;Intramuscular;-18.588.482;-66.664.749;5.0;Vacunación en unidad educativa
MOVIL-000051;2025-05-30T15:11:26;TAB-OR-06;MOV-00759;94386454 PT;Silvia;Machaca;Marca;F;10/10/2020;Potosí;Llallagua;Comunidad Tolapampa;True;2025-05-30T14:54:29;VAC-001;BCG;1.0;TEMP-BRIGADA-001;Brigada Itinerante Ravelo;LOT-PFZ-2025-113;15.3;1693;Intradérmica;-18.447.231;-64.680.717;10.0;Brigada móvil comunitaria
MOVIL-000052;2024-05-08T11:40:17;TAB-PT-01;MOV-00986;99908279 PT;Grover;Condori;Mamani;M;13/4/2022;Potosí;Potosí;Comunidad Tolapampa;False;2024-05-08T12:24:22;VAC-001;BCG;1.0;EST-PT-0204;Posta Sanitaria Cota Cota;LOT-SII-2024-893;13.1;756;Intradérmica;-2.026.047;-6.542.878;5.0;
MOVIL-000053;2025-04-01T07:51:44;TAB-OR-01;MOV-00095;8449607 CH;Gregoria;Limachi;Quisbert;F;29/10/2020;Chuquisaca;Mojocoya;Comunidad San Pedro de Quemes;True;2025-04-01T14:27:44;VAC-006;Pentavalente;5.0;EST-CH-0271;Centro Materno Infantil Santiago de Lacaya;LOT-AZN-2025-512;2.4;1615;Intramuscular;-1.913.547;-65.879.803;15.0;Campaña puerta a puerta
MOVIL-000054;2024-04-19T15:12:43;TAB-CH-01;MOV-00952;51165243 OR;Santusa;Mamani Quispe;Quisbert;F;19/8/2022;Oruro;Chipaya;Comunidad Ocurí;True;2024-04-19T14:57:25;VAC-020;SRP (Triple Viral);2.0;EST-OR-0261;Centro Materno Infantil Miraflores;LOT-SNF-2024-156;13.1;609;Subcutánea;-18.196.727;-67.393.875;10.0;Segunda visita - completar esquema
MOVIL-000055;2024-03-08T08:09:59;TAB-CH-05;MOV-00400;49442092 PT;Francisca;Marca;Copa;F;9/7/2020;Potosí;Uncía;Comunidad Salinas;True;2024-03-08T13:46:48;VAC-021;Antiamarílica (FA);1.0;EST-PT-0227;Posta de Salud Valle Hermoso;LOT-GSK-2024-287;6.3;1338;Subcutánea;-18.894.363;-66.422.869;25.0;
MOVIL-000056;2024-08-23T11:15:11;TAB-OR-05;MOV-00404;;Paola;Chipana;Callisaya;F;28/3/2022;Potosí;Betanzos;Ayllu Chayantaka;True;2024-08-23T10:50:20;VAC-004;Pentavalente;3.0;EST-PT-0232;Micro Hospital Chimba;LOT-PFZ-2024-197;5.1;879;Intramuscular;-19.669.889;-66.030.872;15.0;
MOVIL-000057;2024-07-26T09:40:28;TAB-PT-04;MOV-00290;;Jorge;Nina;Ticona;M;26/5/2020;Oruro;Pazña;Comunidad Quillacas;True;2024-07-26T11:24:38;VAC-004;Pentavalente;3.0;MOVIL-PT-001;Carpa Vacunación Huanuni;LOT-SNF-2024-950;5.1;1522;Intramuscular;-18.140.381;-67.414.552;5.0;
MOVIL-000058;2025-05-23T09:46:37;TAB-OR-03;MOV-00819;96291941 PT;Pedro;Copa;Copa;M;9/2/1997;Potosí;Sacaca;;True;2025-05-23T16:34:40;VAC-025;Influenza Estacional;1.0;EST-PT-0216;Micro Hospital Equipetrol;LOT-SII-2025-323;16.0;10330;Intramuscular;-20.627.013;-65.131.254;50.0;Vacunación en unidad educativa
MOVIL-000059;2024-10-19T14:03:01;TAB-OR-06;MOV-00346;22959317 OR;Silvia;Yapura;Nina;F;15/1/2018;Oruro;Eucaliptus;Comunidad Salinas;True;2024-10-19T07:10:34;VAC-025;Influenza Estacional;1.0;EST-OR-0255;Centro Ambulatorio Libertad;LOT-PFZ-2024-334;5.4;2469;Intramuscular;-18.727.397;-66.559.826;50.0;
MOVIL-000060;2024-06-25T16:05:06;TAB-CH-07;MOV-00102;99475024 PT;Claudia;Mendoza;Yapura;F;19/9/2013;Potosí;Tupiza;Sindicato Tacobamba;True;2024-06-25T14:02:39;VAC-022;VPH;1.0;EST-PT-0228;Micro Hospital Cerro Verde;LOT-AZN-2024-568;13.7;3932;Intramuscular;-18.680.656;-65.066.391;5.0;Brigada móvil comunitaria
MOVIL-000061;2024-04-22T12:02:00;TAB-CH-06;MOV-00216;66500778 PT;Daniela;Copa;Rojas;F;8/3/2024;Potosí;Cotagaita;Comunidad Chipaya;True;2024-04-22T07:17:56;VAC-019;SRP (Triple Viral);1.0;EST-PT-0208;Puesto de Salud Senkata;LOT-BIO-2024-390;7.9;45;Intramuscular;-18.415.545;-66.241.448;15.0;Vacunación en unidad educativa
MOVIL-000062;2024-08-16T12:31:20;TAB-PT-02;MOV-00869;41906614 PT;Silvestre;Yapura;Nina;M;28/2/2010;Potosí;Tupiza;Comunidad Caripuyo;False;2024-08-16T15:41:55;VAC-025;Influenza Estacional;1.0;EST-PT-0203;Micro Hospital Achumani;LOT-AZN-2024-712;15.9;5283;Intramuscular;-20.576.489;-65.572.218;100.0;Referido de posta vecina
MOVIL-000063;2024-10-01T14:58:29;TAB-PT-02;MOV-00397;21658359 OR;Santos;Tarqui;Quispe;M;17/7/2014;Oruro;Chipaya;Ayllu Chayantaka;True;2024-10-01T07:00:15;VAC-025;Influenza Estacional;1.0;EST-PT-9002;Punto de Vacunación U.E. Uyuni;LOT-PFZ-2024-622;6.7;3729;Intramuscular;-1.836.581;-66.659.103;10.0;Vacunación en unidad educativa
MOVIL-000064;2025-03-12T07:09:21;TAB-CH-05;MOV-01019;99482181 OR;Santusa;Nina;Apaza;F;21/1/2021;Oruro;Caracollo;Comunidad Calacoto;False;2025-03-12T09:38:03;VAC-008;Antipolio bOPV;2.0;EST-OR-0243;Centro Integral de Salud Illimani;LOT-SII-2025-194;6.6;1511;Oral;-17.223.948;-67.828.696;5.0;
MOVIL-000065;2025-03-29T16:59:17;TAB-CH-07;MOV-00316;57339157 OR;David;Limachi;Cruz;M;28/7/2022;Oruro;Oruro;Ayllu Qhara Qhara;True;2025-03-29T12:13:48;VAC-025;Influenza Estacional;1.0;EST-OR-0240;Posta Sanitaria Litoral;LOT-SNF-2025-794;9.2;975;Intramuscular;-18.229.033;-66.427.325;15.0;
MOVIL-000066;2025-03-13T16:54:51;TAB-CH-01;MOV-00121;25586222 CH;Dionisio;Vargas;Paco;M;23/6/2013;Chuquisaca;Monteagudo;Ayllu Laymes;True;2025-03-13T10:27:40;VAC-025;Influenza Estacional;1.0;EST-CH-0292;Micro Hospital Cerro Verde;LOT-BIO-2025-739;7.9;4281;Intramuscular;-19.746.275;-64.910.493;100.0;
MOVIL-000067;2024-11-08T12:40:36;TAB-PT-07;MOV-00606;52111605 OR;Rosa;Chura;Quispe;F;13/6/2014;Oruro;Poopó;Comunidad Ravelo;True;2024-11-08T07:23:33;VAC-022;VPH;1.0;EST-OR-0239;Posta de Salud Bolívar;LOT-BIO-2024-109;3.1;3801;Intramuscular;-17.186.505;-67.630.922;5.0;Brigada móvil comunitaria
MOVIL-000068;2024-04-24T11:13:06;TAB-CH-06;MOV-00234;72415950 PT;Jorge;Laura;Siñani;M;8/1/2022;Potosí;Villazón;Comunidad Quillacas;True;2024-04-24T11:51:45;VAC-008;Antipolio bOPV;2.0;EST-PT-0234;Centro Ambulatorio Alto Lima;LOT-GSK-2024-741;11.2;837;Oral;-19.500.138;-64.738.606;15.0;
MOVIL-000069;2024-09-25T08:14:48;TAB-PT-02;MOV-00387;48044727 PT;Silvia;Rojas;Choque;F;20/6/1992;Potosí;Sacaca;Ayllu Laymes;True;2024-09-25T13:25:47;VAC-025;Influenza Estacional;1.0;EST-PT-9003;Brigada Móvil Norte Potosí;LOT-SII-2024-572;2.5;11785;Intramuscular;-19.195.842;-64.601.568;100.0;
